supermarket,no_of_items,variation,total,paid,change,type,food,snack,beverage,consumables,high_end,asset,fixed_asset,date,mall,time,time_type,type_market,location,loc_category,day,day_type,24hr,day_1,month,year,hour,item_no_cat,total_cat,paid_cat,change_cat,datetime,cluster
tumaini,5,2,692.0,692,0.0,mpesa,yes,yes,no,no,no,no,no,2017-08-22 00:00:00,no,17:18:00,evening,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017.0,17,B,1,1,1,2017-08-22 17:18:00,1
tumaini,4,1,275.0,275,0.0,mpesa,no,yes,no,no,no,no,no,2017-08-22 00:00:00,no,17:29:00,evening,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017.0,17,B,1,1,1,2017-08-22 17:29:00,1
tumaini,1,1,450.0,450,0.0,mpesa,no,no,no,yes,no,no,no,2017-08-22 00:00:00,no,17:47:00,evening,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017.0,17,A,1,1,1,2017-08-22 17:47:00,1
tumaini,1,1,170.0,170,0.0,mpesa,yes,no,no,no,no,no,no,2017-08-22 00:00:00,no,15:30:00,afternoon,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017.0,15,A,1,1,1,2017-08-22 15:30:00,1
cleanshelf,6,2,515.0,515,0.0,card,no,no,yes,no,no,yes,no,2017-08-22 00:00:00,no,15:28:00,afternoon,chain,ongata rongai,mid,Tuesday,weekday,no,22,8,2017.0,15,B,1,1,1,2017-08-22 15:28:00,1
tumaini,2,1,273.0,273,0.0,mpesa,yes,no,no,no,no,no,no,2017-08-26 00:00:00,no,14:30:00,afternoon,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017.0,14,A,1,1,1,2017-08-26 14:30:00,1
tumaini,3,2,110.0,110,0.0,mpesa,yes,yes,no,no,no,no,no,2017-08-26 00:00:00,no,13:36:00,afternoon,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017.0,13,B,1,1,1,2017-08-26 13:36:00,1
tumaini,5,2,823.0,823,0.0,mpesa,yes,no,no,yes,no,no,no,2017-08-26 00:00:00,no,17:35:00,evening,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017.0,17,B,1,1,1,2017-08-26 17:35:00,1
tumaini,16,5,2304.0,3000,696.0,mpesa,yes,yes,yes,yes,no,yes,no,2017-08-26 00:00:00,no,15:38:00,afternoon,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017.0,15,B,0,5,1,2017-08-26 15:38:00,1
tumaini,4,2,718.0,718,0.0,mpesa,yes,no,yes,no,no,no,no,2017-08-26 00:00:00,no,15:58:00,afternoon,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017.0,15,B,1,1,1,2017-08-26 15:58:00,1
tumaini,2,1,154.0,154,0.0,mpesa,no,no,yes,no,no,no,no,2017-08-26 00:00:00,no,16:29:00,evening,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017.0,16,A,1,1,1,2017-08-26 16:29:00,1
tumaini,4,2,1119.0,1119,0.0,mpesa,yes,no,no,yes,no,no,no,2017-08-25 00:00:00,no,20:47:00,night,chain,ongata rongai,mid,Friday,weekday,no,25,8,2017.0,20,B,1,1,1,2017-08-25 20:47:00,1
tumaini,4,2,626.0,626,0.0,mpesa,yes,yes,no,no,no,no,no,2017-08-26 00:00:00,no,17:27:00,evening,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017.0,17,B,1,1,1,2017-08-26 17:27:00,1
tumaini,1,1,100.0,100,0.0,mpesa,yes,no,no,no,no,no,no,2017-08-26 00:00:00,no,09:23:00,morning,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017.0,9,A,1,1,1,2017-08-26 09:23:00,1
tumaini,4,1,468.0,468,0.0,mpesa,yes,no,no,no,no,no,no,2017-08-26 00:00:00,no,17:40:00,evening,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017.0,17,B,1,1,1,2017-08-26 17:40:00,1
tumaini,11,3,2079.0,2079,0.0,mpesa,yes,no,no,yes,no,yes,no,2017-08-26 00:00:00,no,17:40:00,evening,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017.0,17,B,4,1,1,2017-08-26 17:40:00,1
tumaini,1,1,1200.0,1200,0.0,mpesa,yes,no,no,no,no,no,no,2017-08-26 00:00:00,no,16:47:00,evening,chain,ongata rongai,mid,saturday,weekend,no,26,8,2017.0,16,A,1,1,1,2017-08-26 16:47:00,1
tuskys,7,2,1128.0,1128,0.0,card,yes,no,no,yes,no,no,no,2017-08-29 00:00:00,no,17:38:00,evening,chain,ongata rongai,mid,Tuesday,weekday,no,29,8,2017.0,17,B,1,1,1,2017-08-29 17:38:00,1
cleanshelf,2,2,155.0,155,0.0,mpesa,no,yes,yes,no,no,no,no,2017-09-03 00:00:00,no,14:42:00,afternoon,chain,ongata rongai,mid,Sunday,weekend,no,3,9,2017.0,14,A,1,1,1,2017-09-03 14:42:00,1
cleanshelf,3,2,408.0,408,0.0,card,yes,no,yes,no,no,no,no,2017-09-03 00:00:00,no,15:31:00,afternoon,chain,ongata rongai,mid,Sunday,weekend,no,3,9,2017.0,15,B,1,1,1,2017-09-03 15:31:00,1
nakumatt,1,1,1250.0,1250,0.0,mpesa,no,no,no,yes,no,no,no,2017-08-28 00:00:00,yes,21:03:00,night,chain,junction,mid,Monday,weekday,no,28,8,2017.0,21,A,1,1,1,2017-08-28 21:03:00,1
tuskys,6,2,1842.0,1842,0.0,mpesa,yes,no,yes,no,no,no,no,2017-09-05 00:00:00,no,21:23:00,night,chain,cbd,mid,Tuesday,weekday,no,5,9,2017.0,21,B,4,1,1,2017-09-05 21:23:00,1
nakumatt,4,1,1779.0,1779,0.0,mpesa,yes,no,no,no,no,no,no,2017-05-26 00:00:00,yes,20:25:00,night,chain,junction,mid,Tuesday,weekday,no,26,5,2017.0,20,B,4,1,1,2017-05-26 20:25:00,1
nakumatt,6,2,1712.0,1712,0.0,card,yes,no,yes,no,no,no,no,2017-06-30 00:00:00,no,21:07:00,night,chain,cbd,mid,Friday,weekday,yes,30,6,2017.0,21,B,4,1,1,2017-06-30 21:07:00,1
nakumatt,2,2,1380.0,1380,0.0,mpesa,no,no,yes,no,no,yes,no,2017-07-24 00:00:00,yes,14:33:00,afternoon,chain,prestige,mid,saturday,weekend,no,24,7,2017.0,14,A,1,1,1,2017-07-24 14:33:00,1
nakumatt,3,2,971.0,971,0.0,mpesa,no,no,yes,no,no,yes,no,2017-07-25 00:00:00,no,22:02:00,night,chain,cbd,mid,Tuesday,weekday,yes,25,7,2017.0,22,B,1,1,1,2017-07-25 22:02:00,1
nakumatt,4,2,3970.0,3970,0.0,mpesa,no,no,yes,no,yes,yes,no,2017-07-04 00:00:00,yes,20:18:00,night,chain,junction,mid,Friday,weekday,no,4,7,2017.0,20,B,5,7,1,2017-07-04 20:18:00,1
nakumatt,2,2,516.0,516,0.0,card,yes,no,yes,no,no,no,no,2017-07-17 00:00:00,yes,20:58:00,night,chain,junction,mid,Thursday,weekday,no,17,7,2017.0,20,A,1,1,1,2017-07-17 20:58:00,1
nakumatt,10,5,6259.0,6259,0.0,card,yes,yes,no,yes,yes,yes,no,2017-07-11 00:00:00,yes,19:29:00,night,chain,junction,mid,Friday,weekday,no,11,7,2017.0,19,B,0,0,1,2017-07-11 19:29:00,1
nakumatt,1,1,545.0,545,0.0,mpesa,no,no,no,no,no,yes,no,2017-08-02 00:00:00,yes,20:30:00,night,chain,junction,mid,Wednesday,weekday,no,2,8,2017.0,20,A,1,1,1,2017-08-02 20:30:00,1
chandarana,4,2,1714.0,1714,0.0,card,yes,no,no,no,yes,no,no,2017-07-11 00:00:00,yes,20:10:00,night,chain,adlife,high,Tuesday,weekday,no,11,7,2017.0,20,B,4,1,1,2017-07-11 20:10:00,1
