supermarket,no_of_items,variation,total,paid,change,type,food,snack,beverage,consumables,high_end,asset,fixed_asset,date,mall,time,time_type,type_market,location,loc_category,day,day_type,24hr,day_1,month,year,hour,item_no_cat,total_cat,paid_cat,change_cat,datetime,cluster
tuskys,9,3,1245.0,1500,255.0,cash,yes,no,no,yes,no,yes,no,2017-05-22 00:00:00,yes,10:51:00,morning,chain,donholm,mid,monday,weekday,no,22,5,2017.0,10,B,1,1,1,2017-05-22 10:51:00,0
naivas,1,1,800.0,1000,200.0,cash,no,no,yes,no,yes,no,no,2017-05-20 00:00:00,no,19:37:00,night,chain,umoja,mid,saturday,weekend,no,20,5,2017.0,19,A,1,1,1,2017-05-20 19:37:00,0
naivas,1,1,95.0,100,5.0,cash,no,no,yes,no,no,no,no,2017-05-19 00:00:00,no,20:10:00,night,chain,umoja,mid,friday,weekday,no,19,5,2017.0,20,A,1,1,1,2017-05-19 20:10:00,0
naivas,6,2,736.0,1000,263.0,cash,yes,no,yes,yes,no,no,no,2017-05-21 00:00:00,no,12:07:00,afternoon,chain,umoja,mid,sunday,weekend,no,21,5,2017.0,12,B,1,1,1,2017-05-21 12:07:00,0
naivas,1,1,58.0,70,12.0,cash,no,no,yes,no,no,no,no,2017-05-19 00:00:00,no,15:16:00,afternoon,chain,umoja,mid,friday,weekday,no,19,5,2017.0,15,A,1,1,1,2017-05-19 15:16:00,0
naivas,10,4,2903.0,2903,0.0,mpesa,yes,no,yes,yes,yes,yes,no,2017-05-21 00:00:00,no,14:21:00,afternoon,chain,umoja,mid,sunday,weekend,no,21,5,2017.0,14,B,3,5,1,2017-05-21 14:21:00,1
naivas,7,2,961.0,1000,38.0,cash,yes,yes,yes,no,no,no,no,2017-05-12 00:00:00,no,15:46:00,afternoon,chain,umoja,mid,friday,weekday,no,12,5,2017.0,15,B,1,1,1,2017-05-12 15:46:00,0
naivas,9,2,907.0,1000,93.0,cash,yes,yes,yes,yes,yes,no,no,2017-05-17 00:00:00,no,20:27:00,night,chain,umoja,mid,wednesday,weekday,no,17,5,2017.0,20,B,1,1,1,2017-05-17 20:27:00,0
naivas,2,1,202.0,205,3.0,cash,yes,no,no,no,no,no,no,2017-05-22 00:00:00,no,14:36:00,afternoon,chain,umoja,mid,monday,weekday,no,22,5,2017.0,14,A,1,1,1,2017-05-22 14:36:00,0
naivas,3,1,35.0,50,15.0,cash,no,yes,no,no,no,no,no,2017-05-14 00:00:00,no,18:12:00,afternoon,chain,umoja,mid,sunday,weekend,no,14,5,2017.0,18,B,1,1,1,2017-05-14 18:12:00,0
naivas,1,1,45.0,1000,955.0,cash,no,no,yes,no,no,no,no,2017-05-22 00:00:00,no,12:23:00,afternoon,chain,umoja,mid,monday,weekday,no,22,5,2017.0,12,A,1,1,1,2017-05-22 12:23:00,0
naivas,1,1,360.0,1000,640.0,cash,yes,no,no,no,no,no,no,2017-05-22 00:00:00,no,14:00:00,afternoon,chain,umoja,mid,monday,weekday,no,22,5,2017.0,14,A,1,1,1,2017-05-22 14:00:00,0
naivas,4,2,321.0,325,4.0,cash,yes,no,yes,no,no,no,no,2017-05-21 00:00:00,no,19:54:00,night,chain,umoja,mid,sunday,weekend,no,21,5,2017.0,19,B,1,1,1,2017-05-21 19:54:00,0
naivas,2,1,253.0,1000,747.0,cash,yes,no,no,no,no,no,no,2017-05-19 00:00:00,no,15:50:00,afternoon,chain,umoja,mid,friday,weekday,no,19,5,2017.0,15,A,1,1,1,2017-05-19 15:50:00,0
naivas,3,2,345.0,400,55.0,cash,yes,yes,yes,no,no,no,no,2017-05-19 00:00:00,no,19:42:00,night,chain,umoja,mid,friday,weekday,no,19,5,2017.0,19,B,1,1,1,2017-05-19 19:42:00,0
naivas,1,1,60.0,1000,940.0,cash,no,no,no,yes,no,no,no,2017-05-21 00:00:00,no,17:54:00,afternoon,chain,umoja,mid,sunday,weekend,no,21,5,2017.0,17,A,1,1,1,2017-05-21 17:54:00,0
acacia,1,1,35.0,35,0.0,cash,no,no,no,yes,no,no,no,2017-05-22 00:00:00,no,14:01:00,afternoon,small,saika,mid,monday,weekday,no,22,5,2017.0,14,A,1,1,1,2017-05-22 14:01:00,0
naivas,2,2,164.0,200,36.0,cash,no,yes,yes,no,no,no,no,2017-05-21 00:00:00,no,16:53:00,afternoon,chain,umoja,mid,sunday,weekend,no,21,5,2017.0,16,A,1,1,1,2017-05-21 16:53:00,0
naivas,4,2,367.0,1000,633.0,cash,yes,no,yes,no,no,no,no,2017-05-22 00:00:00,no,14:26:00,afternoon,chain,umoja,mid,monday,weekday,no,22,5,2017.0,14,B,1,1,1,2017-05-22 14:26:00,0
naivas,2,1,330.0,500,170.0,cash,yes,no,no,no,no,no,no,2017-05-21 00:00:00,no,18:15:00,afternoon,chain,umoja,mid,sunday,weekend,no,21,5,2017.0,18,A,1,1,1,2017-05-21 18:15:00,0
acacia,1,1,5.0,5,0.0,cash,no,yes,no,no,no,no,no,2017-05-21 00:00:00,no,15:51:00,afternoon,small,saika,mid,sunday,weekend,no,21,5,2017.0,15,A,1,1,1,2017-05-21 15:51:00,0
naivas,2,2,239.0,500,261.0,cash,yes,no,yes,no,no,no,no,2017-05-17 00:00:00,no,18:14:00,afternoon,chain,umoja,mid,wednesday,weekday,no,17,5,2017.0,18,A,1,1,1,2017-05-17 18:14:00,0
tuskys,3,1,638.0,650,14.0,cash,no,no,no,yes,no,no,no,2017-05-21 00:00:00,yes,16:01:00,afternoon,chain,donholm,mid,sunday,weekend,no,21,5,2017.0,16,B,1,1,1,2017-05-21 16:01:00,0
tuskys,3,1,720.0,1000,280.0,cash,no,no,no,no,yes,yes,no,2017-05-19 00:00:00,yes,12:06:00,afternoon,chain,donholm,mid,friday,weekday,no,19,5,2017.0,12,B,1,1,1,2017-05-19 12:06:00,0
tuskys,3,2,357.0,400,43.0,cash,yes,yes,no,no,no,no,no,2017-05-21 00:00:00,yes,10:07:00,morning,chain,donholm,mid,sunday,weekend,no,21,5,2017.0,10,B,1,1,1,2017-05-21 10:07:00,0
tuskys,3,2,412.0,500,88.0,cash,yes,no,no,yes,no,no,no,2017-05-20 00:00:00,yes,12:56:00,afternoon,chain,donholm,mid,saturday,weekend,no,20,5,2017.0,12,B,1,1,1,2017-05-20 12:56:00,0
tuskys,1,1,350.0,350,0.0,cash,no,no,no,yes,yes,no,no,2017-05-08 00:00:00,yes,15:49:00,afternoon,chain,donholm,mid,monday,weekday,no,8,5,2017.0,15,A,1,1,1,2017-05-08 15:49:00,0
tuskys,4,1,199.0,200,1.0,cash,no,no,no,no,no,yes,no,2017-05-21 00:00:00,yes,18:50:00,afternoon,chain,donholm,mid,sunday,weekend,no,21,5,2017.0,18,B,1,1,1,2017-05-21 18:50:00,0
tuskys,1,1,46.0,50,4.0,cash,yes,no,no,no,no,no,no,2017-05-16 00:00:00,yes,12:48:00,afternoon,chain,donholm,mid,tuesday,weekday,no,16,5,2017.0,12,A,1,1,1,2017-05-16 12:48:00,0
tuskys,7,4,542.0,1000,458.0,cash,yes,yes,yes,no,no,yes,no,2017-05-21 00:00:00,yes,20:41:00,night,chain,donholm,mid,sunday,weekend,no,21,5,2017.0,20,B,1,1,1,2017-05-21 20:41:00,0
tuskys,2,1,110.0,110,0.0,cash,yes,no,no,no,no,yes,no,2017-05-14 00:00:00,yes,08:53:00,morning,chain,donholm,mid,sunday,weekend,no,14,5,2017.0,8,A,1,1,1,2017-05-14 08:53:00,0
kamindi,1,1,45.0,100,55.0,cash,no,no,no,yes,no,no,no,2017-05-17 00:00:00,no,14:37:00,afternoon,small,donholm,mid,wednesday,weekday,no,17,5,2017.0,14,A,1,1,1,2017-05-17 14:37:00,0
tuskys,2,2,260.0,270,10.0,cash,no,no,yes,no,no,yes,no,2017-05-21 00:00:00,yes,17:50:00,afternoon,chain,donholm,mid,sunday,weekend,no,21,5,2017.0,17,A,1,1,1,2017-05-21 17:50:00,0
kamindi,1,1,120.0,500,380.0,cash,no,no,no,no,no,yes,no,2017-05-19 00:00:00,no,16:09:00,afternoon,small,donholm,mid,friday,weekday,no,19,5,2017.0,16,A,1,1,1,2017-05-19 16:09:00,0
kamindi,1,1,1900.0,2000,100.0,cash,no,no,no,yes,yes,no,no,2017-05-19 00:00:00,no,16:09:00,afternoon,small,donholm,mid,friday,weekday,no,19,5,2017.0,16,A,4,1,1,2017-05-19 16:09:00,0
tuskys,2,1,223.0,1000,777.0,cash,yes,no,no,no,no,no,no,2017-05-13 00:00:00,yes,19:50:00,night,chain,donholm,mid,saturday,weekend,no,13,5,2017.0,19,A,1,1,1,2017-05-13 19:50:00,0
tuskys,5,3,220.0,300,80.0,cash,yes,yes,yes,no,no,no,no,2017-05-18 00:00:00,yes,10:58:00,morning,chain,donholm,mid,thursday,weekday,no,18,5,2017.0,10,B,1,1,1,2017-05-18 10:58:00,0
tuskys,2,1,351.0,400,49.0,cash,no,no,no,yes,no,no,no,2017-05-16 00:00:00,yes,11:36:00,morning,chain,donholm,mid,tuesday,weekday,no,16,5,2017.0,11,A,1,1,1,2017-05-16 11:36:00,0
tuskys,8,1,416.0,500,84.0,cash,yes,no,no,no,no,no,no,2017-05-20 00:00:00,yes,20:28:00,night,chain,donholm,mid,saturday,weekend,no,20,5,2017.0,20,B,1,1,1,2017-05-20 20:28:00,0
tuskys,2,1,119.0,200,81.0,cash,yes,no,no,no,no,no,no,2017-05-20 00:00:00,yes,16:26:00,afternoon,chain,donholm,mid,saturday,weekend,no,20,5,2017.0,16,A,1,1,1,2017-05-20 16:26:00,0
tuskys,1,1,95.0,95,0.0,cash,yes,no,no,no,no,no,no,2017-05-16 00:00:00,yes,18:31:00,afternoon,chain,donholm,mid,tuesday,weekday,no,16,5,2017.0,18,A,1,1,1,2017-05-16 18:31:00,0
acacia,3,2,580.0,1000,420.0,cash,yes,no,no,yes,no,no,no,2017-05-22 00:00:00,no,15:07:00,afternoon,small,saika,mid,monday,weekday,no,22,5,2017.0,15,B,1,1,1,2017-05-22 15:07:00,0
nakumatt,14,3,2183.0,2183,0.0,card,yes,yes,no,no,yes,no,no,2017-01-15 00:00:00,no,18:16:00,afternoon,chain,cbd,mid,sunday,weekend,yes,15,1,2017.0,18,B,4,1,1,2017-01-15 18:16:00,1
nakumatt,1,1,60.0,200,140.0,cash,no,no,no,yes,no,no,no,2017-01-24 00:00:00,yes,10:50:00,morning,chain,kilimani,high,tuesday,weekday,no,24,1,2017.0,10,A,1,1,1,2017-01-24 10:50:00,0
nakumatt,2,1,360.0,500,140.0,cash,no,yes,no,no,yes,no,no,2017-01-19 00:00:00,no,22:41:00,night,chain,cbd,mid,thursday,weekday,yes,19,1,2017.0,22,A,1,1,1,2017-01-19 22:41:00,0
nakumatt,13,2,2657.0,3000,343.0,cash,yes,yes,no,no,no,no,no,2017-01-19 00:00:00,yes,20:53:00,night,chain,kilimani,high,thursday,weekday,no,19,1,2017.0,20,B,3,5,1,2017-01-19 20:53:00,0
nakumatt,2,1,136.0,200,64.0,cash,yes,no,no,no,no,no,no,2017-05-26 00:00:00,yes,13:35:00,night,chain,kilimani,high,friday,weekday,no,26,5,2017.0,13,A,1,1,1,2017-05-26 13:35:00,0
nakumatt,2,2,1724.0,2000,276.0,cash,yes,yes,no,no,no,no,no,2017-05-23 00:00:00,yes,12:26:00,afternoon,chain,kilimani,high,tuesday,weekday,no,23,5,2017.0,12,A,4,1,1,2017-05-23 12:26:00,0
tuskys,1,1,29.0,29,0.0,cash,no,yes,no,no,no,no,no,2017-05-25 00:00:00,no,19:35:00,night,chain,cbd,mid,thursday,weekday,no,25,5,2017.0,19,A,1,1,1,2017-05-25 19:35:00,0
karrymart,5,2,200.0,200,0.0,cash,yes,yes,no,no,no,no,no,2017-05-23 00:00:00,no,06:09:00,morning,small,cbd,mid,tuesday,weekday,yes,23,5,2017.0,6,B,1,1,1,2017-05-23 06:09:00,0
karrymart,1,1,55.0,100,45.0,cash,yes,no,no,no,no,no,no,2017-05-23 00:00:00,no,07:08:00,morning,small,cbd,mid,tuesday,weekday,yes,23,5,2017.0,7,A,1,1,1,2017-05-23 07:08:00,0
karrymart,3,3,340.0,500,160.0,cash,yes,yes,yes,no,no,no,no,2017-05-23 00:00:00,no,20:28:00,night,small,cbd,mid,tuesday,weekday,yes,23,5,2017.0,20,B,1,1,1,2017-05-23 20:28:00,0
karrymart,1,1,71.0,75,4.0,cash,yes,no,no,no,no,no,no,2017-05-23 00:00:00,no,07:38:00,morning,small,cbd,mid,tuesday,weekday,yes,23,5,2017.0,7,A,1,1,1,2017-05-23 07:38:00,0
karrymart,1,1,35.0,100,65.0,cash,no,yes,no,no,no,no,no,2017-05-23 00:00:00,no,12:24:00,afternoon,small,cbd,mid,tuesday,weekday,yes,23,5,2017.0,12,A,1,1,1,2017-05-23 12:24:00,0
karrymart,1,1,70.0,500,430.0,cash,yes,no,no,no,no,no,no,2017-05-23 00:00:00,no,06:42:00,morning,small,cbd,mid,tuesday,weekday,yes,23,5,2017.0,6,A,1,1,1,2017-05-23 06:42:00,0
karrymart,2,1,70.0,100,30.0,cash,no,yes,no,no,no,no,no,2017-05-23 00:00:00,no,14:28:00,afternoon,small,cbd,mid,tuesday,weekday,yes,23,5,2017.0,14,A,1,1,1,2017-05-23 14:28:00,0
